Food Related,Bill Number,Bill Title,Introducers,Committee Assignment,Current Status,Description,Bill URL,Archived
true,HB1427 HD1 SD1,RELATING TO AVIAN INFLUENZA.,NAKAMURA,"HHS/AEN, WAM",(S) 4/15/2025- Received notice of appointment of House conferees (Hse. Com. No. 732).,"Appropriates funds to the Department of Health and Department of Agriculture to prevent, monitor, and respond to avian influenza in Hawaii.  Effective 12/31/2050.  (SD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1427&year=2025,true
true,HB109,RELATING TO THE DEPOSIT BEVERAGE CONTAINER PROGRAM.,CHUN,"EEP, CPC, FIN","(H) 1/21/2025- Referred to EEP, CPC, FIN, referral sheet 1",Increases the deposit and refund value for beverage containers from 5 cents to 10 cents under the deposit beverage container program.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=109&year=2025,true
false,SB36,RELATING TO THE LAND USE COMMISSION.,CHANG_ FEVELLA_ HASHIMOTO_ Wakai,WTL/EIG_ JDC,S 1/16/2025: Referred to WTL/EIG_ JDC.,Requires the Land Use Commission to reclassify lands that are designated for urban growth under a county general plan or county development plan as being in the urban district at the request of the county.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=36&year=2025,true
false,HB1374,RELATING TO INTOXICATING LIQUOR.,YAMASHITA,"CPC, FIN","(H) 1/27/2025- Referred to CPC, FIN, referral sheet 4","Defines low alcohol by volume spirits beverages.  Establishes lower tax rates for class 18 small craft producer pub licensees, including for low alcohol by volume spirits beverages.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1374&year=2025,true
false,HB832,RELATING TO REAL PROPERTY LEASES.,"GRANDINETTI, BELATTI, IWAMOTO, LOWEN, PERRUSO, SOUZA, Amato","CPC, JHA","(H) 1/23/2025- Referred to CPC, JHA, referral sheet 3","Prohibits the resetting of lease rents for long-term commercial leases above a level that is economic for the lessee's actual use of the property.  Requires that a lessee whose long-term commercial lease has been terminated be compensated for the value of buildings, infrastructure, and businesses created by the lessee that will be retained by the lessor.  Allows a lessee the right to purchase the property at fair market value.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=832&year=2025,true
false,SB47 SD1,RELATING TO STATE HOLIDAYS.,CHANG_ FEVELLA_ HASHIMOTO_ MCKELVEY_ RHOADS,TCA/LBT_ WAM,S 2/12/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Designates the day of the second new moon after the winter solstice of each year as the Lunar New Year.  Establishes the Lunar New Year as a state holiday.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=47&year=2025,true
true,HB427 HD2 SD2 CD1,RELATING TO BIOSECURITY.,"NAKAMURA, AMATO, BELATTI, CHUN, COCHRAN, EVSLIN, GARRETT, GRANDINETTI, HASHEM, HOLT, HUSSEY, ICHIYAMA, ILAGAN, IWAMOTO, KAHALOA, KAPELA, KEOHOKAPU-LEE LOY, KILA, KITAGAWA, KUSCH, LA CHICA, LAMOSAO, LEE, M., LOWEN, MARTEN, MATAYOSHI, MIYAKE, MORIKAWA, OLDS, PERRUSO, POEPOE, QUINLAN, SAYAMA, TAKAYAMA, TAKENOUCHI, TAM, TARNAS, TEMPLO, TODD, WOODSON, YAMASHITA","AEN/TCA/CPN, WAM/JDC","(H) 6/27/2025- Act 236, on 06/27/2025 (Gov. Msg. No. 1338).","Part I:  Renames the Department of Agriculture as the Department of Agriculture and Biosecurity (Department) and the Board of Agriculture as the Board of Agriculture and Biosecurity.  Part II:  Establishes a Deputy Chairperson for Biosecurity.  Part III:  Authorizes and specifies conditions under which the Department may declare a biosecurity emergency, during which the Department and Governor may take certain actions to prevent the establishment or spread of pests and prohibited or restricted organisms.  Broadens the objectives and general actions of the Biosecurity Program.  Part IV:  Authorizes the Department to establish transitional facilities.  Requires the Department to certify and train biosecurity compliance auditors to inspect imported plants and animals.  Requires inspection of various items transported interisland.  Increases penalties for illegally transporting plants, animals, and microorganisms.  Part V:  Authorizes the Department to enter into government‑industry agreements for readiness and response to unwanted organisms in the State.  Authorizes biosecurity and pest management plans to address, contain, or eradicate pests.  Requires the Department to establish a pest dashboard by 12/1/2025.  Part VI:  Authorizes the Department to adopt rules to establish and enforce the Plant Care Component Program.  Authorizes the Department to assess administrative penalties for the enforcement of the Plant Care Component Program.  Part VII:  Transfers the Hawaii Invasive Species Council from the Department of Land and Natural Resources to the Department.  Part VIII:  Appropriates funds.  (CD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=427&year=2025,true
true,SB1020,RELATING TO SINGLE-USE PLASTICS.,LEE_ C.,CPN/AEN_ JDC,S 1/23/2025: Referred to CPN/AEN_ JDC.,After 1/1/2026_ prohibits businesses where food or beverages are packaged and sold on the business' premises for individual consumption from using_ selling_ or distributing certain disposable or single-use food ware and beverage service items_ including items containing PFAS.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1020&year=2025,true
true,SB519,RELATING TO AQUATIC LIFE.,RICHARDS_ CHANG_ Fevella_ Wakai,WTL/EDT_ JDC,S 1/21/2025: Referred to WTL/EDT_ JDC.,"Requires the Department of Land and Natural Resources to amend the definition of ""aquarium purposes""_ in Hawaii Administrative Rules_ to allow a bona fide aquaculture entity or scientific research entity to collect aquatic life without a permit so long as the aquatic life remains in the county in which it was collected while it is alive.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=519&year=2025,true
true,HB1334 HD3 SD1,RELATING TO MEAT DONATION.,"MIYAKE, COCHRAN, KILA, KUSCH, LAMOSAO, SOUZA, TAKAYAMA, TAM, TARNAS, Matayoshi","HHS, JDC/CPN","(S) 3/21/2025- Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC/CPN.","Exempts the donation of wild game meat or meat products, including axis deer, to a charitable, religious, or nonprofit organization for the purpose of feeding needy individuals from certain laws regarding the inspection and transportation of meat.  Effective 12/31/2050.  (SD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1334&year=2025,true
false,SB655,"RELATING TO RICHARD ""BUFFALO"" KEAULANA DAY.",FEVELLA_ CHANG_ Awa,TCA_ WAM,S 1/23/2025: Referred to TCA_ WAM.,"Designates September 2nd of each year as ""Richard ""Buffalo"" Keaulana Day"".",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=655&year=2025,true
true,HB1417 HD1,RELATING TO FARMS.,"WARD, ALCOS, MATSUMOTO, PIERICK, REYES ODA, SHIMIZU, Muraoka","AGR, FIN","(H) 2/14/2025- Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Matayoshi, Poepoe, Ward excused (4).","Creates an exclusion from income tax for the first $50,000 of gross income earned by farmers.  Effective 7/1/3000.  (HD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1417&year=2025,true
true,HB47 HD2,RELATING TO AQUACULTURE.,"KAHALOA, KUSCH, LOWEN","AGR, CPC, FIN","(H) 2/12/2025- Report adopted; referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Sayama, Ward excused (3).","Authorizes the Division of Animal Industry of the Department of Agriculture to adopt, amend, and repeal rules to develop an assessment and approval process to import and move aquatic livestock in the State.  Requires the Aquaculture Program to develop a risk-based framework and biocontainment standards for the aquatic livestock assessment and approval process.  Appropriates funds.  Effective 7/1/3000.  (HD2)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=47&year=2025,true
false,SB182 SD1,RELATING TO SERVICE DISRUPTIONS.,AQUINO,LBT_ CPN/JDC,S 2/21/2025: The committee on JDC deferred the measure.,Requires hotelkeepers to provide adequate notice of strikes and lockouts to guests and third-party vendors under certain conditions.  Allows for recovery of damages by injured parties.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=182&year=2025,true
true,SB177 SD1 HD1,RELATING TO AQUACULTURE.,WAKAI_ CHANG_ DECOITE_ HASHIMOTO_ INOUYE_ KANUHA_ KIDANI_ RICHARDS_ Fevella_ San Buenaventura,AGR_ CPC_ FIN,H 4/25/2025: Conference Committee Meeting will reconvene on Friday_ 04-25-25 2:40 PM; Conference Room 411.,Authorizes the Division of Animal Industry of the Department of Agriculture to adopt_ amend_ and repeal rules to develop an assessment and approval process to import and move aquatic livestock in the State.  Requires the Aquaculture Program to develop a biological aquatic risk-based framework and biocontainment standards for the aquatic livestock assessment and approval process.  Appropriates funds.  Effective 7/1/3000.  (HD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=177&year=2025,true
true,SB194,RELATING TO GENERAL EXCISE TAX EXEMPTIONS.,FEVELLA_ GABBARD,HHS_ WAM,S 1/17/2025: Referred to HHS_ WAM.,Establishes general excise tax exemptions for food_ medical services_ and feminine hygiene products.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=194&year=2025,true
true,SB351,RELATING TO PESTICIDES.,RHOADS_ GABBARD,AEN_ CPN/WAM,S 2/4/2025: Report adopted; Passed Second Reading and referred to CPN/WAM.,Requires quarterly rather than annual reporting of all use of restricted use pesticides.  Amends the contents of reports to include specific geospatial data and information and increased detail on the amount of restricted use pesticides used.  Requires the Department of Agriculture to develop an online reporting tool for restricted use pesticides.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=351&year=2025,true
false,HB17,RELATING TO TOURISM.,TAM,TOU,"(H) 1/21/2025- Referred to TOU, referral sheet 1",Short form bill relating to tourism.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=17&year=2025,true
false,SB30 HD2 CD1,RELATING TO MOPEDS.,CHANG,TRN_ JHA,S 5/2/2025: Enrolled to Governor.,Prohibits persons under the age of sixteen from driving a moped. Requires all persons driving a moped to wear a safety helmet_ regardless of age.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=30&year=2025,true
false,SB28,RELATING TO THE LAND USE COMMISSION.,CHANG_ FEVELLA_ HASHIMOTO,WTL_ JDC,S 1/16/2025: Referred to WTL_ JDC.,Specifies that a simple majority of affirmative votes of the members of the Land Use Commission present at a meeting and qualified to vote is required for any boundary amendment.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=28&year=2025,true
false,SB27 SD1,RELATING TO HOUSING.,CHANG_ FEVELLA_ HASHIMOTO_ Moriwaki_ Wakai,HOU_ WAM,S 2/5/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Exempts housing developments that have obtained financing commitments from the State from the requirement to obtain approval from the applicable county council.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=27&year=2025,true
true,SB537,RELATING TO ORGANIC WASTE.,GABBARD_ CHANG_ KANUHA_ KIDANI_ MCKELVEY_ RHOADS_ RICHARDS_ San Buenaventura,AEN/EIG_ WAM,S 1/21/2025: Referred to AEN/EIG_ WAM.,Establishes statewide goals for solid waste reduction and organic waste diversion.  Requires each county to incorporate into its next integrated solid waste management plan revision a plan to reduce all organic waste produced within the county by facilities generating more than a specified amount of organic waste per year in alignment with established state benchmarks.  Appropriates funds.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=537&year=2025,true
true,SB558 SD2 HD2,RELATING TO VALUE-ADDED PRODUCTS.,DECOITE_ CHANG_ FEVELLA_ GABBARD_ HASHIMOTO_ INOUYE_ KANUHA_ MCKELVEY_ MORIWAKI_ San Buenaventura_ Wakai,AGR_ ECD_ FIN,H 3/21/2025: Report adopted; referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Cochran_ Garrett_ Kapela_ Kitagawa_ Ward excused (5).,Establishes a Food and Product Innovation Network within the Agribusiness Development Corporation.  Appropriates funds for the development of Food and Product Innovation Network facilities.  Requires annual reports to the Legislature.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=558&year=2025,true
false,SB641 SD1,RELATING TO ALCOHOL.,KEOHOKALOLE_ CHANG_ FEVELLA_ KIM,CPN_ WAM,S 2/14/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,"Defines ""low alcohol by volume spirits beverage"".  Establishes a tax on low alcohol by volume spirits beverages at a rate of $0.85 per wine gallon.  Effective 7/1/2050.  (SD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=641&year=2025,true
true,SB703,RELATING TO AGRICULTURE.,GABBARD_ CHANG_ HASHIMOTO,AEN_ WAM,S 1/23/2025: Referred to AEN_ WAM.,Appropriates funds for the agricultural loan program to offer loans with an interest rate cap of four per cent; a line of credit program with a prevailing interest rate; and loans with an interest rate cap of three per cent for new farmers that commit to growing import replacement crops and farm-to-state programs.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=703&year=2025,true
false,SB661 SD1,RELATING TO PLANT-BASED BUILDING MATERIALS.,GABBARD_ CHANG_ Fukunaga,AEN_ WAM,S 2/5/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Appropriates funds to the Department of Agriculture for the establishment and operation of programs relating to the development of biocements and hemp- and bamboo-based building materials.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=661&year=2025,true
true,SB685,RELATING TO TAXATION OF POLLUTION.,GABBARD_ CHANG_ RHOADS,AEN/EIG_ WAM,S 1/23/2025: Referred to AEN/EIG_ WAM.,Amends the environmental response_ energy_ and food security tax to address carbon emissions.  Incrementally increases the tax rate over time.  Establishes a refundable tax credit to mitigate the effect of a carbon emissions tax on taxpayers.  Reenacts the agricultural development and food security special fund.  Requires reports to the Legislature.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=685&year=2025,true
true,SB827 SD1,RELATING TO MEAT PROCESSING.,HASHIMOTO,EDT_ WAM,S 2/12/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Requires the Department of Business_ Economic Development_ and Tourism to develop and implement a grant program to expand the meat processing capacity in the State.  Establishes requirements for grant applicants.  Allows hunters access to qualifying meat processing facilities.  Establishes positions.  Appropriates funds.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=827&year=2025,true
false,SB806,RELATING TO HOUSING.,FUKUNAGA,HOU/WTL_ WAM,S 1/23/2025: Referred to HOU/WTL_ WAM.,Requires housing projects developed pursuant to section 201H-38_ HRS_ to be located within county-designated transit-oriented zones.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=806&year=2025,true
true,SB883,RELATING TO AGRICULTURE.,KANUHA,AEN,S 1/23/2025: Referred to AEN.,Short form bill.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=883&year=2025,true
true,SB961 SD1 HD1,RELATING TO THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM.,SAN BUENAVENTURA_ AQUINO,HSH_ FIN,H 3/19/2025: Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran_ Ward excused (2).,Requires the Department of Human Services to adjust the minimum certification periods for Supplemental Nutrition Assistance Program benefits households_ participate in the Elderly Simplified Application Project_ and report to the Legislature.  Effective 7/1/3000.  (HD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=961&year=2025,true
false,SB979,RELATING TO LIQUOR LICENSES.,WAKAI_ MCKELVEY,CPN_ WAM,S 1/23/2025: Referred to CPN_ WAM.,Increases the liquor manufacturing limits for Class 18 small craft producer pub license holders.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=979&year=2025,true
true,SB988,RELATING TO THE HAWAII CHILD NUTRITION PROGRAMS.,DECOITE (Introduced by request of another party),EDU/AEN_ WAM,S 1/23/2025: Referred to EDU/AEN_ WAM.,Transfers the Hawaii Child Nutrition Programs Agency from the Department of Education to the Department of Agriculture and codifies its establishment.  Establishes a grant program to be administered by the Agency to support the funding of certain initiatives for the State's public schools.  Appropriates funds for grants.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=988&year=2025,true
true,SB1067 SD1,RELATING TO DEPOSIT BEVERAGE CONTAINER RECYCLING.,KEOHOKALOLE_ San Buenaventura,HHS/AEN_ WAM/CPN,S 2/13/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM/CPN.,Repeals certain exemptions for beverage dealers from the requirement to operate redemption centers and amends the types of containers they must accept for redemption.  Allows the establishment of regional centers for the redemption of refillable beverage containers but not as substitutes for dealers' means to receive deposit beverage containers.  Requires the Department of Health to establish a Reverse Vending Machine Pilot Program to use the Deposit Beverage Container Deposit Special Fund to provide grants to deploy reverse vending machines.  Establishes eligibility standards to receive grants from the Department of Health to deploy reverse vending machines.  Effective 12/31/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1067&year=2025,true
false,SB1129 SD1,RELATING TO INSURANCE.,MCKELVEY,CPN_ WAM,S 2/10/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Requires the Insurance Commissioner to convene a working group to identify_ assess_ and recommend certain risk transfer market mechanisms.  Requires annual report to the Legislature.  Appropriates funds.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1129&year=2025,true
false,HB15,RELATING TO LODGING.,TAM,TOU,"(H) 1/21/2025- Referred to TOU, referral sheet 1",Short form bill relating to lodging.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=15&year=2025,true
true,HB812 HD1,RELATING TO AGRICULTURE.,"MATAYOSHI, CHUN, KAHALOA, KITAGAWA, LA CHICA, TAM, TARNAS, TODD","AGR, FIN","(H) 2/11/2025- Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Cochran, Ward excused (2).","Authorizes a contract for the purchase of local produce having a value of more than $25,000 to be for a term of at least five years, under certain conditions.  Effective 7/1/3000.  (HD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=812&year=2025,true
true,SB1260 SD1,RELATING TO AGRICULTURE.,GABBARD,AEN_ WAM,S 2/13/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Establishes an agroecological and climate-smart farming practices tax credit.  Applies to taxable years beginning after 12/31/2025.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1260&year=2025,true
true,SB1276 SD1 HD1,RELATING TO AGRICULTURE.,KANUHA_ CHANG_ KIDANI_ Wakai,AGR_ CPC_ JHA,H 3/14/2025: Passed Second Reading as amended in HD 1 and referred to the committee(s) on CPC with none voting aye with reservations; none voting no (0) and Representative(s) Cochran_ Holt_ Iwamoto_ Ward excused (4).,Extends the offense of false labeling of Hawaii-grown coffee to include roasted coffee.  Imposes a mandatory $10_000 fine for each separate offense of false-labeling of Hawaii-grown roasted coffee.  Effective 7/1/3000.  (HD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1276&year=2025,true
false,SB1501 SD2 HD1 CD1,RELATING TO ENERGY.,WAKAI,EEP_ FIN,H 6/6/2025: Act 191_ on 06/06/2025 (Gov. Msg. No. 1291).,Requires the Department of Budget and Finance to enter into step-in agreements for payment obligations arising under certain power purchase agreements.  Establishes the Power Purchase Costs Trust Fund.  Establishes that revenues from on-bill charges for power purchase agreements and money from a surcharge supporting a reserve account shall be held in trust by the Department of Budget and Finance_ and that independent power producers shall hold a beneficial interest in the revenues to the extent of the amounts owed under the covered power purchase agreements.  Appoints_ authorizes_ and empowers the electric utility to serve as the billing_ collection_ and payment agent of the Department of Budget and Finance in the service of performing step-in agreements.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1501&year=2025,true
true,HB178,RELATING TO AGRICULTURE.,"LAMOSAO, CHUN, GRANDINETTI, KAHALOA, KAPELA, KILA, KITAGAWA, MIYAKE, MORIKAWA, PERRUSO, POEPOE, QUINLAN, TAKENOUCHI, TAM, TODD","HED, FIN","(H) 1/21/2025- Referred to HED, FIN, referral sheet 1",Appropriates funds to establish a state tea agent at UH Manoa CTAHR.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=178&year=2025,true
true,HB92 HD2,RELATING TO AGRICULTURE.,KAHALOA,"AGR, FIN","(H) 2/14/2025- Passed Second Reading as amended in HD 2 and referred to the committee(s) on FIN with Representative(s) Perruso voting aye with reservations; none voting no (0) and Representative(s) Cochran, Matayoshi, Poepoe, Ward excused (4).",Includes agricultural businesses as a qualified high technology business to receive tax credits for certain research activities.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=92&year=2025,true
false,SB898,RELATING TO ENERGY.,KANUHA,EIG,S 1/23/2025: Referred to EIG.,Short form bill.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=898&year=2025,true
false,HB296,RELATING TO OFFICE OF LEGISLATIVE ANALYST.,"MATSUMOTO, ALCOS, GARCIA, MURAOKA, PIERICK, REYES ODA, SHIMIZU, WARD","LMG, FIN","(H) 1/21/2025- Referred to LMG, FIN, referral sheet 1",Requires the office of legislative analyst to produce fiscal notes on all fiscal bills.  Prohibits a committee from making a decision on a fiscal bill without a fiscal note.  Mandates that fiscal notes be made available to the public.  Appropriates funds.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=296&year=2025,true
true,HB365 HD1,RELATING TO AQUACULTURE.,"EVSLIN, GARRETT, GRANDINETTI, KAHALOA, LA CHICA, LOWEN, MARTEN, PERRUSO, POEPOE, QUINLAN, SOUZA, Belatti, Chun","AGR, JHA","(H) 2/14/2025- Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Matayoshi, Poepoe, Ward excused (4).",Prohibits certain octopus aquaculture.  Effective 7/1/3000.  (HD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=365&year=2025,true
